Response_ID,Date,Time,Word_Count,Character_Count,Character_Count_No_Spaces,Line_Count,Sentence_Count,Average_Word_Length,Has_Code,Has_Math,Has_List
1,2025-11-07,14:42:05,129,839,713,7,7,5.48,No,Yes,Yes
2,2025-11-07,14:42:05,107,662,559,8,6,5.16,No,Yes,Yes
3,2025-11-07,14:42:05,369,2917,2538,11,21,6.85,No,Yes,Yes
4,2025-11-07,14:42:05,271,1613,1336,14,22,4.88,No,Yes,Yes
5,2025-11-07,14:42:05,72,487,421,7,4,5.76,Yes,Yes,Yes
6,2025-11-07,14:42:05,152,905,757,9,10,4.93,No,Yes,Yes
7,2025-11-07,14:42:05,297,1852,1544,12,12,5.16,No,Yes,Yes
8,2025-11-07,14:42:05,93,587,500,9,6,5.29,No,No,No
9,2025-11-07,14:42:05,215,1455,1238,13,16,5.7,No,Yes,Yes
10,2025-11-07,14:42:05,402,2709,2318,15,29,5.73,Yes,Yes,Yes
11,2025-11-07,14:42:05,44,256,218,7,3,4.82,No,No,No
